Size: 256
Style: stroke-linecap="round" stroke-width="1.6" stroke="#ffffff"
Path: m0,0 h0
16.36,173.99
23.62,174.65
27.53,173.59
32.91,172.78
36.46,171.41
40.93,173.49
47.60,173.16
51.26,172.86
55.70,171.34
62.98,172.32
67.76,172.17
72.77,172.72
76.47,172.66
82.30,174.00
89.24,172.17
92.85,174.25
96.99,172.65
105.09,175.14
106.74,171.46
114.06,175.28
116.58,172.09
121.49,172.16
128.06,173.01
133.38,172.08
137.88,172.18
143.94,175.06
148.03,173.52
152.66,171.84
158.94,171.87
164.46,172.50
169.79,173.25
173.10,173.42
177.31,171.74
182.58,172.28
189.78,172.84
191.65,174.99
197.74,173.75
202.83,172.31
208.20,174.52
214.94,173.50
218.13,174.57
225.05,171.07
228.45,174.76
231.75,172.65
237.06,173.33
243.68,173.76
246.83,171.40
251.54,173.50
4.12,176.33
8.90,177.62
12.62,178.67
19.12,178.49
24.44,177.87
29.15,178.70
32.87,176.72
36.81,177.16
42.88,177.93
46.40,177.33
50.93,179.71
56.31,176.31
63.95,177.32
66.71,176.06
72.60,178.47
77.50,177.82
81.40,179.34
87.74,179.03
93.57,178.71
98.65,176.72
101.72,176.09
108.71,179.02
111.16,176.49
117.75,177.21
122.01,176.73
129.11,178.37
133.76,176.20
136.71,178.59
141.30,178.67
149.33,177.93
153.19,178.24
158.95,179.15
162.97,177.11
168.40,179.41
172.86,177.95
176.98,180.03
184.21,176.92
188.93,179.08
192.19,179.89
196.43,179.47
203.78,176.96
208.88,178.85
213.30,176.75
219.38,176.85
223.93,177.24
226.84,179.62
234.57,178.75
238.81,177.04
243.13,177.78
248.27,177.80
255.46,178.01
2.10,184.15
8.04,182.32
11.15,184.98
17.75,183.95
20.92,182.22
25.80,183.93
32.88,184.23
37.25,183.53
44.24,183.10
47.98,182.82
54.93,183.04
59.57,181.22
61.56,184.17
67.87,182.85
71.25,184.72
77.44,184.07
80.87,182.14
89.52,183.86
94.01,182.62
99.58,181.31
101.75,184.28
107.36,182.82
114.17,182.72
118.26,181.93
122.65,182.27
127.82,184.14
134.54,182.04
139.25,185.24
143.77,183.01
146.24,184.31
151.54,181.90
159.60,182.61
163.64,183.73
166.69,185.04
171.89,182.21
177.14,184.12
182.70,181.62
188.02,183.53
192.38,183.63
199.42,182.77
203.96,181.41
208.53,183.05
212.71,182.24
217.43,183.23
222.33,181.45
226.53,183.18
231.85,181.58
237.90,183.51
241.86,184.38
247.76,181.69
255.05,181.91
1.27,186.90
7.05,188.62
12.45,188.97
19.00,189.40
22.66,188.30
28.61,189.04
31.86,187.73
38.18,189.59
41.85,186.68
49.06,186.59
52.58,186.75
56.70,187.49
61.92,188.01
69.07,188.95
74.29,188.62
78.72,188.71
82.86,186.22
87.04,187.69
93.49,189.62
96.64,186.28
100.94,189.53
108.40,187.80
113.84,187.31
118.89,187.25
123.05,189.51
129.09,187.28
133.77,187.09
139.48,190.09
143.81,188.47
148.47,187.19
153.33,187.31
156.87,187.36
161.24,188.40
167.45,189.40
172.77,188.13
176.72,188.85
184.41,186.91
189.54,187.46
192.73,189.60
199.57,186.71
201.31,189.67
206.13,187.36
214.08,188.54
219.53,188.26
224.18,187.01
227.56,188.17
233.79,188.06
237.22,189.49
242.18,187.40
247.31,186.96
253.72,188.67
1.07,191.48
7.80,194.81
13.12,194.46
15.75,191.18
20.90,193.24
27.43,193.72
32.35,194.76
38.96,194.75
43.07,191.32
45.75,194.07
53.25,194.46
56.69,192.19
61.26,191.57
67.79,193.21
73.78,194.80
78.31,193.08
84.21,193.24
87.75,193.21
91.84,192.84
97.49,194.27
103.62,193.83
106.63,193.88
111.78,193.11
117.19,192.07
123.50,192.40
128.40,192.85
132.15,192.92
139.90,193.42
144.79,193.86
149.37,192.89
152.17,191.54
159.23,194.38
164.11,192.02
167.40,193.00
173.76,193.70
179.93,191.51
183.20,193.60
189.28,193.12
193.65,194.82
199.52,193.99
205.35,193.05
208.77,191.70
212.14,192.58
216.74,192.54
222.79,193.00
229.93,192.44
234.91,193.00
239.78,194.06
242.89,194.35
247.00,192.60
252.73,192.65
0.97,198.53
7.01,198.05
12.38,197.96
16.93,197.90
21.97,197.54
27.21,197.87
32.94,199.48
37.05,198.32
44.30,198.27
48.50,197.49
54.34,198.88
56.82,200.30
63.24,199.09
66.13,196.47
73.76,198.84
78.05,197.58
81.24,200.25
88.94,197.11
91.59,199.99
99.80,197.81
104.67,197.25
109.71,196.91
113.79,196.52
117.82,200.26
122.09,198.51
127.53,198.67
132.49,196.58
136.12,198.03
142.41,198.92
148.81,197.38
153.89,197.78
156.73,197.87
164.55,197.28
166.93,199.68
173.60,197.18
177.53,198.58
184.48,198.35
188.06,199.05
194.65,198.67
199.49,199.24
202.50,197.01
209.01,197.27
213.68,199.45
219.67,198.26
222.58,198.60
226.86,196.79
232.94,199.27
239.12,198.68
245.67,199.92
249.65,197.40
254.82,196.23
3.29,204.68
8.04,203.93
13.80,203.90
19.32,204.20
23.36,204.02
25.61,205.31
34.48,204.68
38.61,202.82
41.67,204.25
46.64,202.49
51.52,201.27
57.52,203.80
63.56,203.28
68.67,203.42
73.11,202.95
76.91,201.66
83.53,204.64
86.81,201.15
93.82,205.03
96.39,202.94
102.60,203.47
105.95,204.97
113.20,201.46
120.05,203.57
123.89,201.20
126.41,204.69
131.55,202.75
136.47,202.35
144.60,205.34
147.05,202.33
152.71,202.18
158.70,203.77
163.91,204.65
167.42,203.42
172.66,203.36
179.44,202.44
182.87,202.47
189.36,204.44
194.65,201.73
199.21,203.22
202.29,203.96
207.67,204.57
214.09,204.55
217.57,202.13
223.24,204.50
230.02,204.75
232.89,203.96
239.55,202.27
242.74,204.45
250.09,202.74
254.03,204.91
1.44,208.64
7.52,207.24
12.94,207.36
18.69,209.52
22.19,209.38
27.96,206.17
32.31,207.94
37.61,208.63
44.06,207.92
48.66,206.72
51.80,208.50
58.23,207.41
61.57,207.31
68.55,208.05
73.60,206.87
77.60,209.55
81.49,208.59
87.13,209.85
94.57,208.24
96.25,210.05
101.25,208.54
109.26,207.51
112.39,206.23
116.65,207.32
124.49,208.87
129.83,210.13
133.62,207.42
136.31,209.60
141.43,208.94
148.78,208.53
152.19,208.53
156.86,208.98
163.58,208.44
169.03,208.57
171.63,207.33
178.50,208.10
183.61,209.74
186.62,208.15
193.81,207.48
197.51,208.82
201.60,209.19
207.10,208.07
213.92,207.85
218.36,209.37
225.17,210.13
226.37,207.17
235.19,209.81
239.38,207.36
242.74,207.86
248.82,206.43
251.87,207.15
3.25,214.80
6.06,213.17
12.15,211.31
15.61,213.87
22.75,214.80
28.30,213.56
33.21,212.47
38.86,214.64
43.85,212.74
46.75,213.81
52.38,214.05
56.24,214.33
62.75,211.42
67.68,214.24
74.21,211.63
76.57,214.36
83.48,211.51
86.57,214.79
91.82,212.42
98.67,214.52
101.75,213.26
106.95,211.84
112.17,213.74
116.51,212.89
121.30,211.63
128.59,214.64
134.80,214.74
136.78,212.25
142.69,214.76
147.81,212.79
152.47,213.46
157.44,214.26
163.27,212.96
169.72,212.67
173.87,211.99
178.59,215.10
181.47,213.97
187.60,213.88
193.23,213.49
197.93,213.10
204.73,214.36
209.47,213.02
213.53,211.49
216.77,215.16
223.60,214.48
227.45,214.85
231.79,211.23
236.69,212.25
241.85,213.36
247.08,213.71
251.72,212.59
4.00,218.76
8.81,219.64
11.49,216.98
16.79,218.78
21.44,218.14
26.13,218.90
31.54,217.71
36.25,219.25
41.16,218.46
47.22,220.11
51.86,217.32
57.84,217.39
63.41,216.83
67.08,217.22
72.78,218.19
77.53,218.29
83.64,217.16
87.52,219.99
91.50,216.81
99.63,220.06
101.52,216.69
107.62,217.13
113.78,216.88
116.69,218.80
122.86,217.00
127.13,219.11
134.08,218.13
138.52,219.65
144.29,218.78
148.07,218.09
153.66,218.61
160.04,217.34
162.14,220.17
168.83,218.26
173.97,218.74
179.46,219.96
184.18,217.73
187.90,217.40
193.69,219.51
196.64,217.92
204.40,219.97
206.95,217.06
211.98,218.67
219.57,216.41
222.79,217.40
228.64,217.59
234.44,219.92
238.65,217.41
241.94,219.36
248.94,216.74
254.71,218.09
2.29,224.28
6.05,222.05
13.84,223.15
16.92,223.47
22.85,221.94
25.82,224.54
32.47,224.03
37.11,224.16
42.30,222.59
49.23,223.55
51.96,225.40
57.39,223.95
61.48,221.97
68.79,223.12
73.60,223.39
77.47,224.09
81.43,222.77
88.82,222.56
92.92,224.03
99.64,225.26
103.76,221.46
109.20,223.97
113.30,224.50
117.84,221.95
124.39,221.68
127.28,224.77
132.82,223.34
137.10,224.25
141.28,222.68
149.74,222.69
154.46,223.57
158.27,222.15
161.94,225.16
168.21,224.65
172.45,221.81
177.78,221.96
184.07,224.00
187.13,222.22
194.87,222.39
198.30,224.81
201.79,223.66
209.27,222.87
215.24,222.51
219.16,223.47
222.00,224.31
226.64,224.58
231.42,223.98
236.55,223.46
245.22,224.21
247.46,221.61
253.92,223.84
2.61,228.63
7.61,228.30
11.11,229.29
16.64,229.11
22.42,228.93
28.29,226.64
32.21,227.71
37.81,227.72
43.38,229.06
48.52,227.64
54.10,230.05
58.89,227.75
61.63,229.72
65.51,226.15
72.80,228.53
77.98,229.62
81.78,229.65
88.95,227.20
94.25,227.51
97.30,226.42
102.81,228.96
108.19,227.13
110.96,228.39
118.06,226.85
121.51,226.73
128.53,228.20
133.11,229.69
140.09,227.91
144.42,226.45
149.41,226.58
151.25,229.65
156.54,229.52
162.56,229.30
166.61,227.81
171.90,226.67
179.52,227.28
182.54,228.55
189.31,229.58
193.52,228.65
197.62,227.30
204.32,226.83
208.69,228.23
212.54,226.86
217.77,228.75
224.97,229.49
228.78,229.81
233.01,229.05
237.90,226.28
242.46,227.03
248.78,230.10
252.55,227.19
1.24,234.40
6.99,235.06
12.75,233.12
17.57,234.29
23.66,232.55
27.48,234.93
32.16,232.93
37.69,234.28
44.70,234.96
45.86,231.85
50.99,232.65
57.71,234.05
63.72,232.52
68.12,234.36
71.26,232.33
79.32,234.75
83.31,231.85
89.01,231.63
91.34,233.63
99.37,232.49
102.25,234.82
109.49,234.60
113.45,232.39
118.52,232.55
122.81,234.90
126.68,232.33
131.39,233.75
138.65,233.83
142.40,232.29
148.73,235.09
152.77,233.73
158.16,234.44
162.07,233.30
167.77,233.94
172.29,232.26
177.26,233.69
181.86,234.93
187.67,233.81
192.46,234.20
197.17,232.07
203.46,233.54
207.32,234.72
214.17,234.24
219.20,231.99
223.87,234.28
229.41,235.27
234.59,233.55
236.88,231.69
243.57,231.46
246.61,234.63
251.97,233.98
2.49,239.57
8.38,239.54
13.94,239.75
18.75,238.41
24.36,238.90
28.52,237.71
32.63,239.30
38.34,237.74
44.36,238.62
47.66,238.78
52.10,238.89
56.37,239.85
63.26,238.74
68.21,238.38
74.63,236.37
78.47,238.10
84.42,237.21
87.84,238.91
94.28,238.50
99.23,237.13
101.34,239.12
107.76,238.15
111.30,239.45
117.14,237.43
122.05,239.03
126.53,239.16
133.95,240.15
136.50,237.32
143.57,239.72
148.90,239.66
154.02,237.10
158.49,238.25
163.71,238.10
167.72,239.83
174.15,237.82
177.88,238.04
181.10,239.98
189.48,238.15
192.15,240.16
197.35,237.53
202.65,238.22
207.29,239.76
214.31,237.90
217.76,237.18
223.65,236.85
226.39,239.30
235.46,239.75
239.54,236.74
243.51,239.37
248.12,237.52
254.37,238.05
4.51,243.59
6.77,245.38
13.37,243.82
17.24,244.11
21.18,242.74
26.31,244.39
32.83,242.75
37.28,242.23
41.30,244.51
46.05,243.28
51.59,245.20
58.97,242.68
62.68,243.23
68.34,243.54
72.79,242.54
76.31,245.05
81.75,241.73
88.21,242.98
91.30,244.62
97.73,243.41
103.00,244.43
107.30,244.50
111.58,244.51
116.78,243.10
124.75,244.01
129.25,242.97
131.83,243.79
137.10,242.80
142.29,242.97
148.71,242.26
152.38,242.66
160.06,241.84
161.55,244.98
167.73,244.04
171.80,243.47
177.54,244.14
183.44,241.62
189.07,242.91
193.40,244.47
199.67,244.44
203.13,243.04
206.37,243.75
213.56,243.93
217.96,242.38
224.33,242.80
229.46,242.01
232.20,243.88
238.43,244.41
242.44,244.98
249.58,242.01
254.05,245.29
2.83,246.72
5.72,250.29
13.87,247.26
19.19,247.44
22.50,247.13
28.58,249.64
33.12,248.78
36.89,246.56
40.66,248.85
46.03,249.75
52.24,250.17
58.69,248.00
63.49,247.67
68.64,248.23
71.50,249.91
77.11,248.84
82.82,246.22
89.53,250.03
91.64,248.20
97.20,248.08
102.36,248.69
109.17,249.30
114.76,246.79
118.56,250.25
123.46,247.23
128.89,248.30
133.63,248.15
139.05,249.43
143.20,246.47
148.02,249.51
153.85,247.04
157.82,248.76
163.26,248.47
169.57,249.15
173.65,249.43
176.92,247.64
184.31,246.58
188.00,248.84
194.96,248.61
199.46,247.69
202.93,250.45
208.66,246.91
212.67,247.50
216.71,246.97
221.91,248.54
227.21,248.91
231.94,248.55
236.39,246.72
243.54,248.34
248.27,246.31
251.48,247.71
1.94,254.16
9.02,251.55
12.80,254.76
16.82,254.53
23.62,254.22
26.41,254.55
31.50,255.27
39.31,253.08
42.61,255.28
46.85,252.40
54.32,255.14
57.22,252.49
63.81,253.06
66.34,254.58
74.51,252.46
78.29,253.43
82.83,252.10
87.17,253.01
94.77,254.39
99.21,252.69
102.95,254.66
106.69,254.87
111.25,254.56
115.74,254.00
121.74,251.88
126.62,253.08
133.19,253.55
139.43,253.06
142.68,251.97
147.19,253.86
151.89,252.91
159.81,251.76
162.09,254.71
166.35,252.70
174.46,254.37
179.02,253.83
183.58,252.15
186.55,252.42
191.90,254.10
198.24,253.50
202.35,253.83
208.74,253.37
213.22,253.66
219.03,252.18
223.84,254.52
229.42,255.17
234.65,253.72
237.04,252.03
245.11,254.24
248.07,253.03
253.93,252.40
256.43,13.91
256.41,172.17
